學院,開課系所,流水號,課號,課程名稱,英文課名,授課教師,學分,時間/教室,選別,全/半,人數限制,分發條件
"中心、處室","體育室","01021","PE1022-U","大一體育","Freshman PE II","邱文聲","0","Wed78/YH-YH-1","必修","半","無","1021
PE1022	大一體育
Freshman PE II

優先順序	相關條件限制說明
1	系所:限電機工程學系。年級:限一年級。班別:限A。身份:限非交換生。"
"中心、處室","體育室","01022","PE1022-V","大一體育","Freshman PE II","吳治翰","0","Wed78/YH-YH-1","必修","半","無","1022
PE1022	大一體育
Freshman PE II

優先順序	相關條件限制說明
1	系所:限電機工程學系。年級:限一年級。班別:限B。身份:限非交換生。"
"中心、處室","學務處-服務學習發展中心","08015","SC0004-P","服務學習課程","Student Service-Learning","龔存雄
歐陽良昱","0","Thu78/E1-124","必修","半","無","8015
SC0004	服務學習課程
Student Service-Learning

優先順序	相關條件限制說明
1	系所:限電機工程學系。年級:限一年級。班別:限A。"
"中心、處室","學務處-服務學習發展中心","08016","SC0004-Q","服務學習課程","Student Service-Learning","龔存雄
歐陽良昱","0","Thu78/E1-124","必修","半","無","8016
SC0004	服務學習課程
Student Service-Learning

優先順序	相關條件限制說明
1	系所:限電機工程學系。年級:限一年級。班別:限B。
2	系所:限電機工程學系。"
"中心、處室","通識教育中心","09046","GS4457-*","半導體入門","Introduction to semiconductors","陳啟昌","2","Wed78/A-106","選修","半","50","9046
GS4457	半導體入門
Introduction to semiconductors

優先順序	相關條件限制說明
1	學制:限學士班。系所:限非物理學系、非光電科學與工程學系、非機械工程學系、非化學工程與材料工程學系、非電機工程學系。"
"中心、處室","語言中心","00047","LN1002-E","大一英文:工程課群","Freshman English as an Introduction to Engineering","劉愛萍","3","Wed5/TR-A205 Fri34/E1-136","必修","全","45","47
LN1002	大一英文:工程課群
Freshman English as an Introduction to Engineering

優先順序	相關條件限制說明
1	系所:限電機工程學系、通訊工程學系、資訊電機學院學士班、生醫科學與工程學系。年級:限一年級。身份:限非交換生。"
"中心、處室","語言中心","00052","LN1002-J","大一英文:工程課群","Freshman English as an Introduction to Engineering","任秀英","3","Wed5/TR-A201 Fri34/E1-135","必修","全","45","52
LN1002	大一英文:工程課群
Freshman English as an Introduction to Engineering

優先順序	相關條件限制說明
1	系所:限電機工程學系、通訊工程學系、資訊電機學院學士班、生醫科學與工程學系。年級:限一年級。身份:限非交換生。"
"中心、處室","語言中心","00053","LN1002-K","大一英文:工程課群","Freshman English as an Introduction to Engineering","陳雯玲","3","Wed5/E1-134 Fri34/E1-137","必修","全","45","53
LN1002	大一英文:工程課群
Freshman English as an Introduction to Engineering

優先順序	相關條件限制說明
1	系所:限電機工程學系、通訊工程學系、資訊電機學院學士班、生醫科學與工程學系。年級:限一年級。身份:限非交換生。"
"中心、處室","語言中心","00057","LN1002-O","大一英文:工程課群","Freshman English as an Introduction to Engineering","朱琼芝","3","Wed5/TR-A202 Wed9/E1-134 Fri34/E1-134","必修","全","45","57
LN1002	大一英文:工程課群
Freshman English as an Introduction to Engineering

優先順序	相關條件限制說明
1	系所:限電機工程學系、通訊工程學系、資訊電機學院學士班、生醫科學與工程學系。年級:限一年級。身份:限非交換生。"
"中心、處室","語言中心","00058","LN1002-P","大一英文:工程課群","Freshman English as an Introduction to Engineering","秦毓權","3","Wed5/E1-135 Wed9/E1-136 Fri34/TR-A203","必修","全","45","58
LN1002	大一英文:工程課群
Freshman English as an Introduction to Engineering

優先順序	相關條件限制說明
1	學制:限學士班。學院:限資訊電機學院。系所:限電機工程學系、通訊工程學系、資訊電機學院學士班、生醫科學與工程學系。年級:限一年級。"
